idx,from_airport_id,to_airport_id,aircraft_id
1,AER,KZN,CR2
2,ASF,KZN,CR2
3,ASF,MRV,CR2
4,CEK,KZN,CR2
5,CEK,OVB,CR2
6,DME,KZN,CR2
7,DME,NBC,CR2
8,DME,TGK,CR2
9,DME,UUA,CR2
10,EGO,KGD,CR2
11,EGO,KZN,CR2
12,GYD,NBC,CR2
13,KGD,EGO,CR2
14,KZN,AER,CR2
15,KZN,ASF,CR2
16,KZN,CEK,CR2
17,KZN,DME,CR2
18,KZN,EGO,CR2
19,KZN,LED,CR2
20,KZN,SVX,CR2
21,LED,KZN,CR2
22,LED,NBC,CR2
23,LED,UUA,CR2
24,MRV,ASF,CR2
25,NBC,DME,CR2
26,NBC,GYD,CR2
27,NBC,LED,CR2
28,NBC,SVX,CR2
29,NJC,SVX,CR2
30,NJC,UUA,CR2
31,NUX,SVX,CR2
32,OVB,CEK,CR2
33,OVB,SVX,CR2
34,SVX,KZN,CR2
35,SVX,NBC,CR2
36,SVX,NJC,CR2
37,SVX,NUX,CR2
38,SVX,OVB,CR2
39,TGK,DME,CR2
40,UUA,DME,CR2
41,UUA,LED,CR2
42,UUA,NJC,CR2
43,BTK,IKT,A81
44,BTK,OVB,A81
45,CEK,OVB,A81
46,HTA,IKT,AN4
47,IKT,BTK,A81
48,IKT,HTA,AN4
49,IKT,KCK,AN4
50,IKT,ODO,AN4
51,IKT,OVB,A81
52,IKT,UKX,AN4
53,IKT,ULK,AN4
54,IKT,YKS,A81
55,KCK,IKT,AN4
56,MJZ,OVB,A81
57,ODO,IKT,AN4
58,OVB,BTK,A81
59,OVB,CEK,A81
60,OVB,IKT,A81
61,UKX,IKT,AN4
62,ULK,IKT,AN4
63,YKS,IKT,A81
64,AYP,LIM,142
65,CUZ,LIM,142
66,CUZ,PEM,142
67,HUU,LIM,141
68,IQT,PCL,143
69,IQT,TPP,142
70,LIM,AYP,142
71,LIM,CUZ,142
72,LIM,HUU,141
73,LIM,PCL,143
74,LIM,TPP,142
75,PCL,IQT,143
76,PCL,LIM,143
77,PCL,TPP,146
78,PEM,CUZ,142
79,TPP,IQT,142
80,TPP,LIM,142
81,TPP,PCL,146
82,ABJ,BOY,CRJ
83,ABJ,OUA,E70
84,ACC,OUA,CRJ
85,BKO,ABJ,M87
86,BKO,DKR,M87
87,BKO,OUA,CRJ
88,BOY,ABJ,CRJ
89,BOY,OUA,CRJ
90,COO,LFW,M87
91,COO,OUA,M87
92,DKR,BKO,M87
93,DKR,OUA,M87
94,LFW,OUA,M87
95,NIM,OUA,CRJ
96,OUA,ABJ,E70
97,OUA,ACC,CRJ
98,OUA,BKO,M87
99,OUA,BOY,CRJ
100,OUA,COO,M87
101,OUA,DKR,M87
102,OUA,LFW,CRJ
103,OUA,NIM,CRJ
104,BOG,GYE,319
105,BOG,UIO,319
106,CLO,GYE,319
107,GYE,BOG,319
108,GYE,CLO,319
109,GYE,SCY,319
110,GYE,UIO,320
111,OCC,UIO,319
112,SCY,GYE,319
113,UIO,BOG,319
114,UIO,GYE,319
115,UIO,OCC,319
116,BDS,ZRH,100
117,BOD,ZRH,100
118,BRS,ZRH,100
119,GVA,LPA,319
120,LCA,ZRH,319
121,LPA,ZRH,319
122,RMF,ZRH,319
123,TFS,GVA,319
124,ZRH,BDS,100
125,ZRH,BOD,100
126,ZRH,BRS,100
127,ZRH,LCA,319
128,ZRH,LPA,319
129,ZRH,RMF,319
130,AJR,LYC,ATP
131,ARN,GEV,ATP
132,ARN,HAD,SF3
133,ARN,JKG,ATP
134,ARN,KRF,ATP
135,ARN,KSD,SF3
136,ARN,LYC,ATP
137,ARN,MHQ,SF3
138,ARN,OER,ATR
139,ARN,POR,SF3
140,ARN,TRF,SF3
141,ARN,VBY,SF3
142,ARN,VHM,SF3
143,ARN,VXO,SF3
144,GEV,ARN,ATP
145,GEV,KRF,ATP
146,HAD,ARN,SF3
147,HAD,JKG,ATP
148,HAD,VXO,SF3
149,HMV,VHM,SF3
150,JKG,ARN,ATP
151,JKG,HAD,ATP
152,KOK,POR,SF3
153,KRF,ARN,ATP
154,KRF,GEV,ATP
155,KSD,ARN,SF3
156,LYC,AJR,ATP
157,LYC,ARN,ATP
158,MHQ,ARN,SF3
159,MHQ,TKU,SF3
160,OER,ARN,ATR
161,OSL,VXO,SF3
162,POR,ARN,SF3
163,POR,KOK,SF3
164,TKU,MHQ,SF3
165,TRF,ARN,SF3
166,VBY,ARN,SF3
167,VHM,ARN,SF3
168,VHM,HMV,SF3
169,VXO,ARN,SF3
170,VXO,OSL,SF3
171,ADQ,AOS,BNI
172,ADQ,KKB,BNI
173,ADQ,KLN,BNI
174,ADQ,KOZ,BNI
175,ADQ,OLH,BNI
176,AOS,KZB,BNI
177,KKB,SYB,BNI
178,KLN,KYK,BNI
179,KOZ,ORI,BNI
180,SYB,KPR,BNI
181,BSO,MNL,DH4
182,BXU,MNL,320
183,CBO,MNL,320
184,CGY,MNL,320
185,CRM,MNL,DH4
186,DGT,MNL,320
187,DWC,MNL,330
188,GES,MNL,320
189,KLO,MNL,320
190,LGP,MNL,320
191,MNL,BSO,DH4
192,MNL,BXU,320
193,MNL,CBO,320
194,MNL,CGY,320
195,MNL,CRM,DH4
196,MNL,DGT,320
197,MNL,DWC,330
198,MNL,GES,320
199,MNL,KLO,320
200,MNL,LGP,320
201,MNL,MPH,DH3
202,MNL,OZC,320
203,MNL,PPS,320
204,MNL,RXS,320
205,MNL,SUG,DH4
206,MNL,TUG,DH4
207,MNL,ZAM,320
208,MPH,MNL,DH3
209,OZC,MNL,320
210,PPS,MNL,320
211,RXS,MNL,320
212,SUG,MNL,DH4
213,TUG,MNL,DH4
214,ZAM,MNL,320
215,AUX,PMW,AT7
216,BRA,BSB,AT7
217,BRA,SSA,AT7
218,BSB,BRA,AT7
219,BSB,OPS,AT7
220,BSB,RAO,AT7
221,CAC,GRU,AT7
222,CGB,GYN,AT7
223,CGB,OPS,AT7
224,CGR,DOU,AT7
225,DOU,CGR,AT7
226,DOU,GRU,AT7
227,GIG,RAO,AT7
228,GRU,CAC,AT7
229,GRU,DOU,AT7
230,GRU,RAO,AT7
231,GRU,UBA,AT7
232,GRU,UDI,AT7
233,GRU,VDC,AT7
234,GYN,CGB,AT7
235,GYN,PMW,AT7
236,GYN,RAO,AT7
237,GYN,UDI,AT7
238,OPS,BSB,AT7
239,OPS,CGB,AT7
240,PLU,RAO,AT7
241,PMW,AUX,AT7
242,PMW,GYN,AT7
243,RAO,BSB,AT7
244,RAO,GIG,AT7
245,RAO,GRU,AT7
246,RAO,GYN,AT7
247,RAO,PLU,AT7
248,RAO,SJP,AT7
249,RAO,UDI,AT7
250,SJP,RAO,AT7
251,SSA,BRA,AT7
252,SSA,VDC,AT7
253,UBA,GRU,AT7
254,UBA,UDI,AT7
255,UDI,GRU,AT7
256,UDI,GYN,AT7
257,UDI,RAO,AT7
258,UDI,UBA,AT7
259,VDC,GRU,AT7
260,VDC,SSA,AT7
261,BRL,ORD,CNC
262,BRL,STL,CNC
263,DEC,ORD,CNC
264,DEC,STL,CNC
265,JBR,STL,CNC
266,ORD,BRL,CNC
267,ORD,DEC,CNC
268,STL,BRL,CNC
269,STL,DEC,CNC
270,STL,JBR,CNC
271,CGA,HYL,DHP
272,CGA,KTN,DHP
273,HYL,CGA,DHP
274,HYL,KTB,DHP
275,HYL,KTN,DHP
276,KTB,HYL,DHP
277,KTB,KTN,DHP
278,KTN,CGA,DHP
279,KTN,HYL,DHP
280,KTN,KTB,DHP
281,KTN,MTM,DHP
282,MTM,KTN,DHP
283,ACC,DKR,319
284,ACC,LOS,319
285,ACC,ROB,319
286,BCN,BJL,319
287,BJL,BCN,319
288,BJL,DKR,319
289,BJL,FNA,319
290,CKY,OXB,319
291,DKR,ACC,319
292,DKR,BJL,319
293,DKR,DLA,319
294,DKR,FNA,319
295,DKR,LOS,319
296,DKR,OXB,319
